Semester,Course,Random ID,Topic,Comments,Section,Sentiments,tsne_x,tsne_y,cluster,wrapped,feedback
F 2024,CH EN 263 ,671000000000.0,Question: Explained concepts effectively,Some of the homework was much harder than what we had talked about in class.,001,negative,-3.5975325,-5.039375,89,Some of the homework was much harder than what we<br>had talked about in class.,F 2024 CH EN 263 :Some of the homework was much harder than what we<br>had talked about in class.
F 2024,CH EN 263 ,778000000000.0,Question: Explained concepts effectively,He was a really good teacher for coding.,001,positive,0.70206356,1.5075346,73,He was a really good teacher for coding.,F 2024 CH EN 263 :He was a really good teacher for coding.
F 2024,CH EN 263 ,684000000000.0,Question: Explained concepts effectively,Sometimes  he made mistakes in class  but it was actually kind of cool because it could help teach us debugging strategies for when we make mistakes in the process.,001,positive,0.3624401,0.4866923,12,Sometimes  he made mistakes in class  but it was<br>actually kind of cool because it could help teach<br>us debugging strategies for when we make mistakes<br>in the process.,F 2024 CH EN 263 :Sometimes  he made mistakes in class  but it was<br>actually kind of cool because it could help teach<br>us debugging strategies for when we make mistakes<br>in the process.
F 2024,CH EN 263 ,808000000000.0,Question: Explained concepts effectively,It was hard to learn from the lectures  but that could also be because the content was not very easy to understand. one on one he could explain very well.,001,negative,-0.7039327,-1.4809502,1,It was hard to learn from the lectures  but that<br>could also be because the content was not very<br>easy to understand. one on one he could explain<br>very well.,F 2024 CH EN 263 :It was hard to learn from the lectures  but that<br>could also be because the content was not very<br>easy to understand. one on one he could explain<br>very well.
F 2024,CH EN 263 ,116000000000.0,Question: Explained concepts effectively,I think the instructor explains things really well  but sometimes he goes too fast  or the explanation might be vague  which makes it hard to understand.,001,neither,-0.8395876,-1.1481,1,I think the instructor explains things really well<br>but sometimes he goes too fast  or the explanation<br>might be vague  which makes it hard to understand.,F 2024 CH EN 263 :I think the instructor explains things really well<br>but sometimes he goes too fast  or the explanation<br>might be vague  which makes it hard to understand.
F 2024,CH EN 263 ,722000000000.0,Question: Explained concepts effectively,class time was never spent on difficult topics  but would rather be wasted on the things we had already done or unrelated examples,001,negative,-2.1869054,-4.899916,89,class time was never spent on difficult topics<br>but would rather be wasted on the things we had<br>already done or unrelated examples,F 2024 CH EN 263 :class time was never spent on difficult topics<br>but would rather be wasted on the things we had<br>already done or unrelated examples
F 2024,CH EN 263 ,599000000000.0,Question: Explained concepts effectively,Dr. Guymon was very effective in teaching many of the most complicated skills and topics in this class. there is just a lot of content to cover which makes things difficult,001,positive,3.671039,-4.4428086,6,Dr. Guymon was very effective in teaching many of<br>the most complicated skills and topics in this<br>class. there is just a lot of content to cover<br>which makes things difficult,F 2024 CH EN 263 :Dr. Guymon was very effective in teaching many of<br>the most complicated skills and topics in this<br>class. there is just a lot of content to cover<br>which makes things difficult
F 2024,CH EN 263 ,269000000000.0,Question: Explained concepts effectively,Some difficult concepts could have been explained more thoroughly  and more example could could have been useful in understanding these concepts.,001,negative,-2.3043826,-2.0114818,95,Some difficult concepts could have been explained<br>more thoroughly  and more example could could have<br>been useful in understanding these concepts.,F 2024 CH EN 263 :Some difficult concepts could have been explained<br>more thoroughly  and more example could could have<br>been useful in understanding these concepts.
F 2024,CH EN 263 ,449000000000.0,Question: Explained concepts effectively,Sometimes there''s a little bit of a conceptual bridge to cross  but honestly it was really good for us to be able to think through things (ie. the heat transfer eqations. Even though we hadn''t been exposed to them  we had to just think about them logically in order to set up our problems.,001,positive,-5.097356,1.4147893,8,Sometimes there''s a little bit of a conceptual<br>bridge to cross  but honestly it was really good<br>for us to be able to think through things (ie. the<br>heat transfer eqations. Even though we hadn''t<br>been exposed to them  we had to just think about<br>them logically in order to set up our problems.,F 2024 CH EN 263 :Sometimes there''s a little bit of a conceptual<br>bridge to cross  but honestly it was really good<br>for us to be able to think through things (ie. the<br>heat transfer eqations. Even though we hadn''t<br>been exposed to them  we had to just think about<br>them logically in order to set up our problems.
F 2024,CH EN 263 ,834000000000.0,Question: Well organized,I feel that this class expects too much of its instructor. While Dr Guymon does an excellent job of helping students learn to approach hard programming tasks  it often takes the time that would be of equal value spent teaching coding concepts. To make an analogy  this course focuses on teaching the complex grammar of a language before teaching any vocabulary. While possible  it feels out of order and is not very helpful. All the ''vocab'' or programming syntax  is not taught in class  but must be learned on one''s own. This is a waste of time  when you have an incredibly experienced programmer like Dr Guymon.,001,negative,2.6054285,-5.2405415,6,I feel that this class expects too much of its<br>instructor. While Dr Guymon does an excellent job<br>of helping students learn to approach hard<br>programming tasks  it often takes the time that<br>would be of equal value spent teaching coding<br>concepts. To make an analogy  this course focuses<br>on teaching the complex grammar of a language<br>before teaching any vocabulary. While possible  it<br>feels out of order and is not very helpful. All<br>the ''vocab'' or programming syntax  is not taught<br>in class  but must be learned on one''s own. This<br>is a waste of time  when you have an incredibly<br>experienced programmer like Dr Guymon.,F 2024 CH EN 263 :I feel that this class expects too much of its<br>instructor. While Dr Guymon does an excellent job<br>of helping students learn to approach hard<br>programming tasks  it often takes the time that<br>would be of equal value spent teaching coding<br>concepts. To make an analogy  this course focuses<br>on teaching the complex grammar of a language<br>before teaching any vocabulary. While possible  it<br>feels out of order and is not very helpful. All<br>the ''vocab'' or programming syntax  is not taught<br>in class  but must be learned on one''s own. This<br>is a waste of time  when you have an incredibly<br>experienced programmer like Dr Guymon.
